2025-08-15 16:17:26,532 - INFO - Starting geocoding process...
2025-08-15 16:17:26,534 - INFO - Backup created: /Users/samfrons/Desktop/storymaps/data/storymaps.json.backup_20250815_161726
2025-08-15 16:17:26,542 - INFO - Loaded 4000 entries
2025-08-15 16:17:26,542 - INFO - Found 3898 entries needing geocoding
2025-08-15 16:17:26,543 - INFO - Processing 2495 unique addresses
2025-08-15 16:17:26,543 - INFO - Processing address 1/2495: Lothringer Str. 81, Berlin
2025-08-15 16:17:33,722 - WARNING - Failed to geocode: Lothringer Str. 81, Berlin
2025-08-15 16:17:33,722 - ERROR - Failed to geocode address: Lothringer Str. 81, Berlin
2025-08-15 16:17:33,723 - INFO - Processing address 2/2495: Probststr. 10/11, Berlin
2025-08-15 16:17:40,951 - WARNING - Failed to geocode: Probststr. 10/11, Berlin
2025-08-15 16:17:40,952 - ERROR - Failed to geocode address: Probststr. 10/11, Berlin
2025-08-15 16:17:40,952 - INFO - Processing address 3/2495: 22, Berlin
2025-08-15 16:17:40,952 - WARNING - Incomplete address detected: 22, Berlin
2025-08-15 16:17:40,952 - ERROR - Failed to geocode address: 22, Berlin
2025-08-15 16:17:40,952 - INFO - Processing address 4/2495: 128, Berlin
2025-08-15 16:17:40,952 - WARNING - Incomplete address detected: 128, Berlin
2025-08-15 16:17:40,952 - ERROR - Failed to geocode address: 128, Berlin
2025-08-15 16:17:40,952 - INFO - Processing address 5/2495: 81, Berlin
2025-08-15 16:17:40,952 - WARNING - Incomplete address detected: 81, Berlin
2025-08-15 16:17:40,952 - ERROR - Failed to geocode address: 81, Berlin
2025-08-15 16:17:40,952 - INFO - Processing address 6/2495: Harzburgstr. 3, Berlin
2025-08-15 16:17:46,250 - WARNING - Failed to geocode: Harzburgstr. 3, Berlin
2025-08-15 16:17:46,251 - ERROR - Failed to geocode address: Harzburgstr. 3, Berlin
2025-08-15 16:17:46,251 - INFO - Processing address 7/2495: Birkenstr. 14, Berlin
2025-08-15 16:17:46,252 - INFO - Updated A. Grün & Sohn: (52.53069174268508, 13.348127429382824)
2025-08-15 16:17:46,253 - INFO - Updated A. Grün & Sohn: (52.53097749251712, 13.348716338047417)
2025-08-15 16:17:46,253 - INFO - Updated A. Grün & Sohn: (52.53060487700386, 13.348103413045749)
2025-08-15 16:17:46,253 - INFO - Processing address 8/2495: 109, Berlin
2025-08-15 16:17:46,253 - WARNING - Incomplete address detected: 109, Berlin
2025-08-15 16:17:46,253 - ERROR - Failed to geocode address: 109, Berlin
2025-08-15 16:17:46,253 - INFO - Processing address 9/2495: Bischofstr. 2/3, Berlin
2025-08-15 16:17:55,870 - WARNING - Failed to geocode: Bischofstr. 2/3, Berlin
2025-08-15 16:17:55,876 - ERROR - Failed to geocode address: Bischofstr. 2/3, Berlin
2025-08-15 16:17:55,876 - INFO - Processing address 10/2495: Hollmannstr. 16, Berlin
2025-08-15 16:17:55,877 - INFO - Updated A. Chill & Co: (52.5018096, 13.39627)
2025-08-15 16:17:55,877 - INFO - Processing address 11/2495: 46, Berlin
2025-08-15 16:17:55,877 - WARNING - Incomplete address detected: 46, Berlin
2025-08-15 16:17:55,877 - ERROR - Failed to geocode address: 46, Berlin
2025-08-15 16:17:55,877 - INFO - Processing address 12/2495: 105, Berlin
2025-08-15 16:17:55,877 - WARNING - Incomplete address detected: 105, Berlin
2025-08-15 16:17:55,877 - ERROR - Failed to geocode address: 105, Berlin
2025-08-15 16:17:55,877 - INFO - Processing address 13/2495: Maikowskistr.  69, Berlin
2025-08-15 16:18:01,231 - WARNING - Failed to geocode: Maikowskistr.  69, Berlin
2025-08-15 16:18:01,235 - ERROR - Failed to geocode address: Maikowskistr.  69, Berlin
2025-08-15 16:18:01,235 - INFO - Processing address 14/2495: Stadtbahnbogen 137, Berlin
2025-08-15 16:18:01,235 - INFO - Updated A. Magnus: (52.5233251, 13.4058007)
2025-08-15 16:18:01,235 - INFO - Processing address 15/2495: Kottbusser Ufer 43, Berlin
2025-08-15 16:18:08,213 - WARNING - Failed to geocode: Kottbusser Ufer 43, Berlin
2025-08-15 16:18:08,218 - ERROR - Failed to geocode address: Kottbusser Ufer 43, Berlin
2025-08-15 16:18:08,218 - INFO - Processing address 16/2495: Platz 11, Berlin
2025-08-15 16:18:08,219 - INFO - Updated A. Neumann & Co: (52.4844741, 13.2601672)
2025-08-15 16:18:08,219 - INFO - Processing address 17/2495: Gervinusstr. 17/19, Berlin
2025-08-15 16:18:08,219 - INFO - Updated AG für Brennstoffvergasung: (52.5037523, 13.3036388)
2025-08-15 16:18:08,219 - INFO - Processing address 18/2495: Luisenstr. 31, Berlin
2025-08-15 16:18:08,219 - INFO - Updated AG für Eigentumschutz: (52.5200137, 13.3807477)
2025-08-15 16:18:08,220 - INFO - Processing address 19/2495: 6, Berlin
2025-08-15 16:18:08,220 - WARNING - Incomplete address detected: 6, Berlin
2025-08-15 16:18:08,220 - ERROR - Failed to geocode address: 6, Berlin
2025-08-15 16:18:08,220 - INFO - Processing address 20/2495: Bleibtreustr. 20, Berlin
2025-08-15 16:18:08,220 - INFO - Updated AG für Finanzierungen am Grundstücksmarkt: (52.502251424612595, 13.31994154754572)
2025-08-15 16:18:08,220 - INFO - Updated AG für Grundkredit: (52.50210891609059, 13.319647430945674)
2025-08-15 16:18:08,220 - INFO - Processing address 21/2495: Brunnenstr. 188/190, Berlin
2025-08-15 16:18:08,220 - INFO - Updated AG für Geschäfts- und Industriebauten: (52.53098511846747, 13.400190007533539)
2025-08-15 16:18:08,220 - INFO - Updated Gebrüder Weinberger GmbH: (52.530458774708244, 13.400514281296683)
2025-08-15 16:18:08,220 - INFO - Processing address 22/2495: Ritterstr. 11, Berlin
2025-08-15 16:18:08,220 - INFO - Updated AG für Grundstücksbeteiligungen: (52.50191666299176, 13.412151657034304)
2025-08-15 16:18:08,220 - INFO - Updated Alexanderbasar GmbH: (52.501400263852204, 13.410991848842631)
2025-08-15 16:18:08,220 - INFO - Updated Der Soda-Syphon GmbH: (52.5014419028606, 13.41193705546713)
2025-08-15 16:18:08,220 - INFO - Updated Deutsche Grundbesitz-AG: (52.50179261540618, 13.410979360284182)
